alpha,Mach,accepted,gep_cr,gep_ci,jump_cr,jump_ci,one_minus_overlap
0.2,1.325,0.0,0.7018478465540459,0.0061296921747421,0.07747079809060686,0.0019203314860939992,0.00552323560767598
0.16,1.375,0.0,0.6930448424570486,0.0102988085020034,0.07404409146964686,0.0029288586513877,0.017391727688675584
0.11,1.425,0.0,0.6182330682847161,0.0082737797301615,0.07013705865758835,0.0004800322560714991,0.03580413120651982
0.1,1.45,0.0,0.6177076679488812,0.0083763125043813,0.06983405441355495,0.000751731364632499,0.025280745533787563
0.09,1.475,0.0,0.6170620301035348,0.0082714909756838,0.06936597450423765,0.0008486143896257008,0.01663178127338083
0.05,1.425,0.0,0.2300793594844656,0.0041019583186408,0.0687459391995118,0.0006364378883735007,8.2847718730239e-05
0.04,1.45,0.0,0.1812911342952526,0.0035248089203774,0.0683781560287044,0.0006652428072786995,4.999821111717484e-05
0.06,1.375,0.0,0.2105081832209186,0.0040865912452052,0.06811157866995021,0.0006920362058714003,8.472874103881978e-05
0.06,1.35,0.0,0.1423966045509684,0.0033945550393338,0.06811157866995021,0.0006920362058714003,7.065615683921056e-05
0.05,1.6,0.0,0.644929542919663,0.0066618459273499,0.06788989422588709,0.0001399078797037004,0.0023304510245509835
0.05,1.625,0.0,0.6450772815076791,0.0068017538070536,0.06786359117882756,0.0001399078797037004,0.0025411780820036034
0.3,1.75,0.0,0.6366215439986268,0.0130691772950616,0.06757361837568043,0.0042180208292702005,0.1171211137741125
0.18,1.35,0.0,0.6923448937341706,0.0072816987463116,0.06745364170138601,0.0032251989536125998,0.010564623471449153
0.3,1.775,0.0,0.7023054988373268,0.0088511564657914,0.06568395483870004,0.0042180208292702005,0.026803588696959202
0.28,1.8,0.0,0.6936200997006403,0.0117474314194986,0.06465652373974362,0.0027475057773304005,0.040315123811393794
0.23,1.8,0.0,0.4676421208737483,0.0080619096926911,0.05941648566012775,0.0006131101719875996,0.0016594709721802214
0.23,1.775,0.0,0.527058606533876,0.0086750198646787,0.05941648566012775,0.0006131101719875996,0.0002463895540476546
0.2,1.75,0.0,0.7393909667314328,0.0060897096412355,0.056350340343439664,0.0008221782282138001,0.0037636667488539777
0.06,1.675,0.0,0.7395980843398231,0.0061667595295199,0.055973284297837544,0.0011640425977580996,0.006421560822522987
0.06,1.65,0.0,0.6836248000419856,0.0069804798757349,0.055973284297837544,0.0008137203462149998,0.0057664923382203526
0.1,1.475,0.0,0.6669194297021004,0.0085517115111145,0.04985739959856561,0.0006442808137569998,0.029712138903096763
0.11,1.45,0.0,0.6675057569863577,0.0081572079780882,0.04979808903747651,0.0004078509759345003,0.03982901103263481
0.12,1.425,0.0,0.6677597597601053,0.0079265419138889,0.04952669147538913,0.00034723781627259837,0.047466688503104426
0.06,1.4,0.0,0.2594720027839456,0.0044941867052421,0.048963819563027006,0.0004075954600368994,0.00010078278592762224
0.09,1.5,0.0,0.6657700329526228,0.0086221834840298,0.04870800284908805,0.0006717728504456993,0.018418894831496613
0.07,1.55,0.0,0.6739434858370139,0.0071415170232484,0.0483311066163713,0.0008365423022840997,0.0077053841635665865
0.06,1.5750000000000002,0.0,0.6737653590636026,0.0065868750098895,0.048152979842959964,0.0005133595086311005,0.004153096353327168
0.24,1.3,0.0,0.720743823713194,0.0050878509987762,0.04756718665681636,0.0006982730813969995,0.0015250717321467766
0.27,1.275,0.0,0.7207946530374237,0.0050619360036806,0.04756351091786937,0.0004962763750638007,0.0016397885116363753
0.3,1.25,0.0,0.7208510232096924,0.0053002214424126,0.04755864093886841,0.00028469685135669963,0.0023952642776210453
0.17,1.375,0.0,0.711331554462067,0.0073699498506157,0.0474707242628325,0.0029288586513877,0.010300486731586012
0.24,1.775,0.0,0.4974760179361795,0.0085244860966344,0.03948801624145487,0.00039122424394240005,0.00043097169827421844
0.06,1.425,0.0,0.2203014073926194,0.0041154738089981,0.039170595391326196,0.0003787128962439998,0.00013731793615956445
0.07,1.375,0.0,0.2007526318189461,0.0040949064758414,0.03910961730266602,0.0003790997243977999,0.00013719674856482733
0.07,1.4,0.0,0.2398622491216121,0.0044343446767135,0.03910961730266602,0.00033943820087210027,0.00017639709514438717
0.05,1.45,0.0,0.1910313025930902,0.0037090452721284,0.03904805689137539,0.0003929130465123998,9.844976595840826e-05
0.08,1.525,0.0,0.6648386145048185,0.0079706632045488,0.03902418680499531,0.0008412157665290011,0.011605091173470194
0.07,1.35,0.0,0.1618091239619302,0.0037158067514436,0.03894350785701589,0.0003790997243977999,0.00016072746753681422
0.02,1.35,0.0,0.0746749897771014,0.0020359476447895,0.038682691642021295,0.0020359476142667505,1.9512796759491025e-06
