alpha,Mach,ci,omega_i,success,source,primary_ci,primary_omega_i,primary_success,primary_mismatch,secondary_ci,secondary_omega_i,secondary_success,secondary_stage1_mismatch,secondary_stage2_mismatch,ci_abs_diff,omega_abs_diff
0.72,0.5599999999999999,0.074469085887131,0.053617741838734315,True,secondary_neutral,0.07445254879705139,0.053605835133877,True,3.823390426829776e-08,0.074469085887131,0.053617741838734315,True,6.39788871730998e-05,8.141167801397283e-28,1.6537090079607464e-05,1.1906704857317374e-05
0.7899999999999999,0.5599999999999999,0.025980614738493918,0.020524685643410194,True,secondary_neutral,0.02597465391107824,0.02051997658975181,True,2.3921514054336956e-08,0.025980614738493918,0.020524685643410194,True,1.1303013021259496e-05,5.529328230301035e-26,5.960827415676939e-06,4.709053658385337e-06
0.8599999999999999,0.5599999999999999,0.0,0.0,True,primary,0.0,0.0,True,0.0,0.0010442295105619946,0.0008980373790833153,False,0.11341743157971244,3.2508169043252675e-24,0.0010442295105619946,0.0008980373790833153
0.9299999999999999,0.5599999999999999,0.0,0.0,True,primary,0.0,0.0,True,0.0,0.0010442295105619946,0.000971133444822655,False,0.47073285012696836,1.4111982037305257e-24,0.0010442295105619946,0.000971133444822655
1.0,0.5599999999999999,0.0,0.0,True,primary,0.0,0.0,True,0.0,0.0010442295105619946,0.0010442295105619946,False,1.1028641055653947,3.108289460274461e-26,0.0010442295105619946,0.0010442295105619946
0.02,0.6299999999999999,0.7008372550500487,0.014016745101000974,True,primary,0.7008372550500487,0.014016745101000974,True,2.029020870091859e-07,,,,,,,
0.09,0.6299999999999999,0.6062281341016879,0.05456053206915191,True,primary,0.6062281341016879,0.05456053206915191,True,8.985780565341078e-07,,,,,,,
0.15999999999999998,0.6299999999999999,0.5223069297429901,0.08356910875887841,True,primary,0.5223069297429901,0.08356910875887841,True,6.553611575710935e-07,,,,,,,
0.22999999999999995,0.6299999999999999,0.44647974516130173,0.10269034138709938,True,primary,0.44647974516130173,0.10269034138709938,True,7.82497626238346e-07,,,,,,,
0.3,0.6299999999999999,0.37700547774411225,0.11310164332323366,True,primary,0.37700547774411225,0.11310164332323366,True,2.1820418843018947e-06,,,,,,,
0.37,0.6299999999999999,0.31254035833643407,0.1156399325844806,True,primary,0.31254035833643407,0.1156399325844806,True,1.6228533921032462e-07,,,,,,,
0.43999999999999995,0.6299999999999999,0.25219101266848454,0.11096404557413318,True,primary,0.25219101266848454,0.11096404557413318,True,1.0840294906626705e-06,,,,,,,
0.5099999999999999,0.6299999999999999,0.19518965348422035,0.09954672327695235,True,primary,0.19518965348422035,0.09954672327695235,True,2.6633003448982284e-07,,,,,,,
0.58,0.6299999999999999,0.14099754035350964,0.08177857340503558,True,primary,0.14099754035350964,0.08177857340503558,True,9.071207214498417e-07,,,,,,,
0.6499999999999999,0.6299999999999999,0.08909402577139043,0.05791111675140377,True,primary,0.08909402577139043,0.05791111675140377,True,1.2558463691539345e-07,,,,,,,
0.72,0.6299999999999999,0.03915835158577737,0.028194013141759705,True,secondary_neutral,0.03919805198414287,0.028222597428582866,True,1.7197658537873584e-07,0.03915835158577737,0.028194013141759705,True,2.3325043498536964e-05,4.78405928566447e-27,3.970039836549699e-05,2.858428682316061e-05
0.7899999999999999,0.6299999999999999,0.0010442295105619946,0.0008249413133439757,True,secondary_neutral,0.0,0.0,True,0.0,0.0010442295105619946,0.0008249413133439757,True,0.03983274885762797,2.914118448202456e-24,0.0010442295105619946,0.0008249413133439757
0.8599999999999999,0.6299999999999999,0.0,0.0,True,primary,0.0,0.0,True,0.0,0.0010442295105619946,0.0008980373790833153,False,0.2956989888921125,4.102613329780038e-24,0.0010442295105619946,0.0008980373790833153
