source_file,source_kind,label,alpha,Mach,candidate_cr,candidate_ci,candidate_omega_i,n_points,family,distance_to_default_shooting,shooting_stage1_mismatch_at_candidate,shooting_stage2_mismatch_at_candidate,overlap_to_reference_high,default_shooting_success,default_shooting_spectral_success,default_shooting_stage1_mismatch,default_shooting_stage2_mismatch,default_stage1_mismatch,default_stage2_mismatch,distance_to_shooting,blumen_cr,blumen_ci,err_cr,err_ci,score_blumen
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,low N=801,0.2,1.275,0.2840795643349558,0.0049255051885699,0.0009851010377139,801.0,low,,,,0.2349912515300141,,,,,,,0.0932925849258248,0.23117469441517483,0.050919975576394085,0.05290486991978097,0.045994470387824185,1.1940838750234546
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,candidate_family,high N=561,0.2,1.275,0.6047536852075641,0.0092550600054861,0.0018510120010972,561.0,high,0.3342889188779273,0.0245526895648191,11.311610929313654,0.9909162793135152,,,,,,,,0.23117469441517483,0.050919975576394085,0.3735789907923893,0.041664915570907984,1.964606718632984
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,high N=561,0.2,1.275,0.6047536852075641,0.0092550600054861,0.0018510120010972,561.0,high,,,,0.9909162793135152,,,,,,,0.3342889188779273,0.23117469441517483,0.050919975576394085,0.3735789907923893,0.041664915570907984,1.964606718632984
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,high N=801,0.2,1.275,0.6026165065454816,0.0060620122356184,0.0012124024471236,801.0,high,,,,0.9909721495414298,,,,,,,0.3339049425844079,0.23117469441517483,0.050919975576394085,0.3714418121303068,0.044857963340775686,2.031750753664248
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,candidate_family,high N=561,0.2,1.3,0.766497361544398,0.0050018373456925,0.0010003674691385,561.0,high,0.0111327732357016,0.0001717588476692,23.220483676996075,0.9999999999999996,,,,,,,,0.2727688216788323,0.04671105940369977,0.49372853986556564,0.04170922205800727,2.2913722704180253
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,high N=561,0.2,1.3,0.766497361544398,0.0050018373456925,0.0010003674691385,561.0,high,,,,0.9999999999999996,,,,,,,0.0111327732357016,0.2727688216788323,0.04671105940369977,0.49372853986556564,0.04170922205800727,2.2913722704180253
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,candidate_family,low N=561,0.2,1.3,0.766497361544398,0.0050018373456925,0.0010003674691385,561.0,low,0.0111327732357016,0.0001717588476692,23.220483676996075,0.9999999999999996,,,,,,,,0.2727688216788323,0.04671105940369977,0.49372853986556564,0.04170922205800727,2.2913722704180253
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,low N=561,0.2,1.3,0.766497361544398,0.0050018373456925,0.0010003674691385,561.0,low,,,,0.9999999999999996,,,,,,,0.0111327732357016,0.2727688216788323,0.04671105940369977,0.49372853986556564,0.04170922205800727,2.2913722704180253
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,high N=801,0.2,1.3,0.7629133113939838,0.0031882246685132,0.0006376449337026,801.0,high,,,,1.0,,,,,,,0.0065067082179076,0.2727688216788323,0.04671105940369977,0.49014448971515145,0.04352283473518657,2.3230832211407573
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,low N=801,0.2,1.3,0.7629133113939838,0.0031882246685132,0.0006376449337026,801.0,low,,,,1.0,,,,,,,0.0065067082179076,0.2727688216788323,0.04671105940369977,0.49014448971515145,0.04352283473518657,2.3230832211407573
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,default_shooting,shooting_default,0.2,1.3,0.7616080729166668,1e-06,2e-07,,,,,,,False,True,8.410955299476107e-10,24.04817923285819,,,,0.2727688216788323,0.04671105940369977,0.48883925123783445,0.046710059403699766,2.3923498237031664
supersonic_shooting_vs_gep_families_a020_m120_130_summary.csv,default_shooting,shooting_default,0.2,1.3,0.7616080729166668,1e-06,2e-07,,,,,,,False,,,,8.410955299476107e-10,24.04817923285819,,0.2727688216788323,0.04671105940369977,0.48883925123783445,0.046710059403699766,2.3923498237031664
