epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
31,0.5819887518882751,0.1687321960926056,0.4063219130039215,0.03945596516132355,0.000588113209232688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001386928604915738,5.0,0.2,0.2,0,3.0000009536743164,0.24898584187030792,,,,,,,,,,,,,,,,0.5819887518882751,0,,
32,0.5657129287719727,0.1508771777153015,0.4040934443473816,0.03874426335096359,0.0008325391099788249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002148461528122425,5.0,0.2,0.2,0,3.0000009536743164,0.2470765858888626,,,,,,,,,,,,,,,,0.5657129287719727,0,,
33,0.5587684512138367,0.13004297018051147,0.42284804582595825,0.03887049853801727,0.0017071523470804095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011754818260669708,5.0,0.2,0.2,0,3.0000009536743164,0.2455214560031891,,,,,,,,,,,,,,,,0.5587684512138367,0,,
34,0.5379773378372192,0.1126353070139885,0.41203320026397705,0.035364165902137756,0.0029195763636380434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026617704425007105,5.0,0.2,0.2,0,3.0000009536743164,0.2444450557231903,,,,,,,,,,,,,,,,0.5379773378372192,0,,
35,0.5110933184623718,0.1006498783826828,0.39480623602867126,0.03159867599606514,0.003940974362194538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031274445354938507,5.0,0.2,0.2,0,3.0000009536743164,0.24384646117687225,,,,,,,,,,,,,,,,0.5110933184623718,0,,
36,0.4678097665309906,0.09339538216590881,0.35509052872657776,0.027508355677127838,0.004000348970293999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003864772617816925,5.0,0.2,0.2,0,3.0000009536743164,0.24390143156051636,,,,,,,,,,,,,,,,0.4678097665309906,0,,
37,0.4241182208061218,0.08941018581390381,0.32290345430374146,0.025227446109056473,0.003531449707224965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002360914833843708,5.0,0.2,0.2,0,3.0000009536743164,0.2441481649875641,,,,,,,,,,,,,,,,0.4241182208061218,0,,
38,0.5246782898902893,0.08639296144247055,0.4232858419418335,0.037319790571928024,0.0025043960195034742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029999029356986284,5.0,0.2,0.2,0,3.0000009536743164,0.24477961659431458,,,,,,,,,,,,,,,,0.5246782898902893,0,,
39,0.5169317126274109,0.09934066236019135,0.4065330922603607,0.03735612705349922,0.0016485911328345537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002211595419794321,5.0,0.2,0.2,0,3.0000009536743164,0.24541787803173065,,,,,,,,,,,,,,,,0.5169317126274109,0,,
40,0.4745388925075531,0.10483871400356293,0.3592947721481323,0.03370954841375351,0.0011099630501121283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015680403157602996,0.0036731548607349396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012994054704904556,5.0,0.2,0.2,0,3.0000009536743164,0.24604010581970215,,,,,,,,,,,,,,,,0.4745388925075531,0,,
41,0.4619607925415039,0.12160316109657288,0.3258879482746124,0.03109993413090706,0.0007444301736541092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028939340263605118,5.0,0.2,0.2,0,3.0000009536743164,0.247071772813797,,,,,,,,,,,,,,,,0.4619607925415039,0,,
42,0.4603005647659302,0.1127094179391861,0.3340356647968292,0.03160066157579422,0.0009014535462483764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00271109351888299,5.0,0.2,0.2,0,3.0000009536743164,0.24857570230960846,,,,,,,,,,,,,,,,0.4603005647659302,0,,
43,0.4055807292461395,0.109504334628582,0.2811097204685211,0.025515396147966385,0.0012977884616702795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029933315236121416,5.0,0.2,0.2,0,3.0000009536743164,0.25025007128715515,,,,,,,,,,,,,,,,0.4055807292461395,0,,
44,0.47130897641181946,0.09846793860197067,0.3650508522987366,0.03271440416574478,0.0018953406251966953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001558034447953105,5.0,0.2,0.2,0,3.0000009536743164,0.25189006328582764,,,,,,,,,,,,,,,,0.47130897641181946,0,,
