alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.3,1.075,561.0,0.15198855784462695,0.0059282867250107125,0.0017784860175032136,0.02327738143136487,0.06919158723946378,0.9955307191948322,target_then_overlap,124,True,False,0.16720058680750485,0.01473780801072502,blended_continuation,0.2046183268229167,0.028387044270833325,0.008516113281249998,True
0.0,1.1,,,,,,,,no_mode,0,False,False,0.03,0.001,shooting_anchor,0.03,0.001,0.0,True
0.01,1.1,561.0,0.0051971543734014814,7.591861931820891e-15,7.591861931820892e-17,0.015210890026982136,0.015210890026982136,,nearest_to_target,143,True,True,0.0,0.007147740234374997,shooting_anchor,0.0,0.007147740234374997,7.147740234374997e-05,True
0.02,1.1,561.0,6.076308066821992e-10,1.3015992510688808e-13,2.603198502137762e-15,0.012146947126998275,0.029349678385156352,0.9999999213491282,target_then_overlap,140,True,False,0.0031182926240408888,0.005869935677087889,blended_continuation,0.0,0.014674839192708332,0.00029349678385416666,True
0.03,1.1,561.0,0.0052009572564041704,1.039845503510737e-14,3.119536510532211e-16,0.01885469438069456,0.04560547805738554,0.999999770318895,target_then_overlap,141,True,False,3.645784840093195e-10,0.00906158854174476,blended_continuation,0.0,0.022653971354166663,0.0006796191406249998,True
0.04,1.1,561.0,0.008935155763929547,7.445849540580234e-15,2.978339816232094e-16,0.025730444014558377,0.06329594742041768,0.9999995227460199,target_then_overlap,136,True,False,0.0031205743538425023,0.01253242187500624,blended_continuation,0.0,0.0313310546875,0.0012532421875,True
0.05,1.1,561.0,0.005208673019157348,4.3469984297421215e-15,2.1734992148710608e-16,0.03275061509880059,0.08204116349806263,0.9999992878036617,target_then_overlap,146,True,False,0.005361093458357728,0.0163751302083378,blended_continuation,0.0,0.040937825520833325,0.0020468912760416664,True
0.06,1.1,561.0,0.005214051144520122,2.158998935978551e-15,1.2953993615871306e-16,0.041541872842521255,0.10385427677692569,0.9999989137718575,target_then_overlap,146,True,False,0.0031252038114944086,0.02074466145833594,blended_continuation,0.0,0.051861653645833325,0.0031116992187499993,True
0.07,1.1,561.0,0.005220485618696657,8.087568666192767e-15,5.661298066334937e-16,0.05194396900420737,0.1298595341438095,0.9999984746061248,target_then_overlap,144,True,False,0.0031284306867120732,0.025950911458334627,blended_continuation,0.0,0.06487727864583333,0.004541409505208333,True
0.08,1.1,561.0,0.008898292348215996,1.170724353011348e-14,9.365794824090785e-16,0.06566691808785113,0.1637751145047048,0.999997458851265,target_then_overlap,143,True,False,0.003132291371217994,0.03270664062500485,blended_continuation,0.0,0.0817666015625,0.006541328125,True
0.09,1.1,561.0,0.005236699724238063,6.236143030070171e-11,5.612528727063154e-12,0.08735396599847006,0.2184475425053183,0.9999973044551165,target_then_overlap,145,True,False,0.005338975408929598,0.04367695312500702,blended_continuation,0.0,0.10919238281249999,0.009827314453124998,True
0.1,1.1,561.0,0.017419181051428322,1.447869109921142e-14,1.447869109921142e-15,0.11277192565283414,0.2831563784171522,0.9999871717025257,target_then_overlap,143,True,False,0.02135035316787617,0.0563516927457502,blended_continuation,0.04552083333333333,0.14087923177083334,0.014087923177083335,True
0.11,1.1,561.0,0.02635612127563559,0.0013982205690395212,0.00015380426259434734,0.10582019790118215,0.270728369444243,0.9999834306122867,target_then_overlap,146,True,False,0.039909841964190326,0.05387252604167536,blended_continuation,0.07364583333333334,0.13468131510416667,0.014814944661458334,True
0.12,1.1,561.0,0.035995606182149406,0.002043530083422349,0.00024522361001068187,0.10187242974937334,0.25938085541309175,0.9999711441270571,target_then_overlap,145,True,False,0.053022006098714686,0.05226328129975702,blended_continuation,0.09302083333333334,0.12856087239583328,0.015427304687499992,True
0.13,1.1,561.0,0.04563402422442353,0.002499090988721894,0.00032488182853384625,0.09733003656082971,0.2479150071552441,0.9999541806002166,target_then_overlap,143,True,False,0.06488903037595631,0.05020228992505341,blended_continuation,0.10822916666666667,0.12244042968749999,0.015917255859375,True
0.14,1.1,561.0,0.06491437831131791,0.003133386093005058,0.0004386740530207081,0.09056329875031935,0.23350335523037025,0.9998337804654683,target_then_overlap,147,True,False,0.07575541453465412,0.04808942855156647,blended_continuation,0.12093749999999998,0.11647493489583333,0.016306490885416667,True
0.15,1.1,561.0,0.07455802692146385,0.0034129586264204192,0.0005119437939630629,0.08706141472921505,0.2217798195781574,0.9998777773319476,target_then_overlap,148,True,False,0.09177675198679075,0.04608380769746969,blended_continuation,0.13207031249999998,0.11050944010416663,0.016576416015624994,True
0.16,1.1,561.0,0.08420561849025221,0.003670010280417312,0.0005872016448667699,0.08222781216081863,0.20983198663572827,0.9998225513075714,target_then_overlap,147,True,False,0.10149002448621164,0.043865353300852256,blended_continuation,0.14188802083333332,0.1045439453125,0.01672703125,True
0.17,1.1,561.0,0.09385813801556682,0.00391184730062096,0.0006650140411055632,0.07738230075849371,0.1978272807735492,0.9997464210651281,target_then_overlap,144,True,False,0.11079941276081798,0.04166437595991706,blended_continuation,0.15069010416666664,0.09865592447916667,0.016771507161458334,True
0.18,1.1,561.0,0.10351661601267635,0.004143798506228693,0.0007458837311211647,0.07248310554669096,0.18567404460316952,0.9996420885658637,target_then_overlap,149,True,False,0.11984092447600675,0.03945426983870591,blended_continuation,0.15881510416666664,0.09276790364583333,0.016698222656249997,True
0.19,1.1,561.0,0.11318217151724837,0.004370079361848282,0.0008303150787511736,0.06755316830626285,0.173390843401549,0.9994996107329528,target_then_overlap,151,True,False,0.1284797612742725,0.03726922181207054,blended_continuation,0.16592447916666672,0.08695735677083331,0.01652189778645833,True
0.2,1.1,561.0,0.12285605342581789,0.004594269078704463,0.0009188538157408927,0.06264954138899091,0.16116013279658736,0.999305460750763,target_then_overlap,150,True,False,0.136987427910349,0.035111761158775644,blended_continuation,0.1726953125,0.08122428385416668,0.016244856770833337,True
0.21,1.1,561.0,0.12286017205504589,0.00467152380573683,0.0009810199992047342,0.06087553322609108,0.1524064836488236,0.9996663514742588,target_then_overlap,151,True,False,0.1453646737221574,0.03295304582222267,blended_continuation,0.17912760416666665,0.07549121093749998,0.015853154296874995,True
0.22,1.1,561.0,0.13254556936037012,0.004904611964278967,0.0010790146321413728,0.05377366029084635,0.1398681750339563,0.9988220438577384,target_then_overlap,151,True,False,0.14766922823302753,0.030706169491775424,blended_continuation,0.18488281250000002,0.06975813802083332,0.01534679036458333,True
0.23,1.1,561.0,0.1422429174494636,0.00514313413807722,0.0011829208517577607,0.04875991223889588,0.12733530084091976,0.9983868223940441,target_then_overlap,151,True,False,0.15564713328288876,0.02858378280356738,blended_continuation,0.1902994791666667,0.06410253906249999,0.014743583984375,True
0.24,1.1,561.0,0.142251798526352,0.005244191024743426,0.001258605845938422,0.04757750851184672,0.11922065718982539,0.9992230208421858,target_then_overlap,152,True,False,0.1636322088030115,0.026495646107846327,blended_continuation,0.19571614583333333,0.05852441406249999,0.014045859374999997,True
0.25,1.1,561.0,0.1519665505551286,0.00550268503634257,0.0013756712590856424,0.0399564612454108,0.10642086991201379,0.9973353177360331,target_then_overlap,122,True,False,0.16553337078247787,0.024294040656512722,blended_continuation,0.20045572916666668,0.05286881510416666,0.013217203776041665,True
0.26,1.1,561.0,0.1519799587489505,0.005623708970013202,0.0014621643322034327,0.03940301657510511,0.09882487227455303,0.9987416561270615,target_then_overlap,124,True,False,0.17312263866641048,0.02224887664680554,blended_continuation,0.20485677083333334,0.04736816406249999,0.012315722656249998,True
0.27,1.1,561.0,0.15199472403280312,0.005753842409619749,0.0015535374505973322,0.03669296039873803,0.09205156803456555,0.9985276585225011,target_then_overlap,124,True,False,0.17489110024937032,0.020090241007007913,blended_continuation,0.20925781250000006,0.041790039062499985,0.011283310546874996,True
0.28,1.1,561.0,0.16173771743703322,0.006055608957084602,0.0016955705079836887,0.028040837134236933,0.07948012140989903,0.9949954816776707,target_then_overlap,126,True,False,0.17652495941968188,0.01796806065410518,blended_continuation,0.21332031250000003,0.03628938802083333,0.010161028645833332,True
0.29,1.1,561.0,0.17150505902350338,0.006377449388496014,0.001849460322663844,0.022857495807824656,0.06699561262790214,0.9937096962267722,target_then_overlap,124,True,False,0.18399575546221994,0.015948860165917428,blended_continuation,0.2173828125,0.03078873697916666,0.008928733723958332,True
0.3,1.1,561.0,0.18130166691928187,0.006721831886267371,0.0020165495658802115,0.017640392886766436,0.05454173332400734,0.9924526766536161,target_then_overlap,129,True,False,0.19134574374743535,0.013972693591430942,blended_continuation,0.22110677083333333,0.025365559895833334,0.00760966796875,True
0.0,1.125,,,,,,,,no_mode,0,False,False,0.03,0.001,shooting_anchor,0.03,0.001,0.0,True
0.01,1.125,561.0,0.0051578328890246,5.284743641864663e-14,5.284743641864663e-16,0.018935199920741455,0.018935199920741455,,nearest_to_target,142,True,True,0.0,0.009109590494791665,shooting_anchor,0.0,0.009109590494791665,9.109590494791665e-05,True
