alpha,Mach,rank,cand_cr,cand_ci,cand_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,overlap_to_anchor,score,target_cr,target_ci,shooting_cr,shooting_ci
0.2,1.3,3,0.7753914565025086,0.004824196553497808,0.0009648393106995616,0.011445839493733269,0.016823631089902893,0.9999681200226698,0.9999681200226698,0.8947126816989714,0.7645416460933054,0.0030015024074155298,0.7616080729166668,1e-06
0.2,1.3,4,0.7484272733489573,0.005362495121827104,0.001072499024365421,0.016791966988230052,0.016991644917712736,0.9998590893700596,0.9998590893700596,1.4932402165313199,0.7645416460933054,0.0030015024074155298,0.7616080729166668,1e-06
0.2,1.3,5,0.7841842500810048,0.0046481952030227565,0.0009296390406045513,0.01991678387867884,0.0244145339577795,0.9998766144297484,0.9998766144297484,1.6366839169385896,0.7645416460933054,0.0030015024074155298,0.7616080729166668,1e-06
0.2,1.325,1,0.7664960552448612,0.0049001039938147755,0.0009800207987629552,0.004241806082148286,0.010879042795505866,0.9995931855069612,0.9995931855069612,0.2605050222827833,0.7645943804683055,0.003004282807444465,0.7617399088541668,7.951000072337961e-06
0.2,1.325,2,0.7575061098927891,0.005071126059623425,0.001014225211924685,0.008205543484013882,0.010975792471616942,0.9997818600463332,0.9997818600463332,0.6692785988391595,0.7645943804683055,0.003004282807444465,0.7617399088541668,7.951000072337961e-06
0.2,1.325,3,0.7753902126345297,0.004730319268098809,0.0009460638536197618,0.011334319547961965,0.016599212075627066,0.9993539262272079,0.9993539262272079,0.9168725999282054,0.7645943804683055,0.003004282807444465,0.7617399088541668,7.951000072337961e-06
0.2,1.325,4,0.7484257781923731,0.005243468861303413,0.0010486937722606828,0.016777351289535326,0.01693837844601402,0.9999144093267722,0.9999144093267722,1.4057371899917537,0.7645943804683055,0.003004282807444465,0.7617399088541668,7.951000072337961e-06
0.2,1.325,5,0.7841830553829259,0.004561709923422764,0.0009123419846845529,0.019834780104579293,0.02422068759220776,0.9990692194209221,0.9990692194209221,1.6412752173882115,0.7645943804683055,0.003004282807444465,0.7617399088541668,7.951000072337961e-06
0.2,1.3499999999999999,1,0.7664961724996018,0.004825429539385922,0.0009650859078771845,0.0042008073490679585,0.010699557798540949,0.9996507692401441,0.998491484104886,0.24922625437893184,0.7644991956469167,0.0029775343966746675,0.76150390625,9.368000096450614e-05
0.2,1.3499999999999999,2,0.7575063101752932,0.004989638416045494,0.000997927683209099,0.008068128504077975,0.010576502710505021,0.9998146351550993,0.9988605420690732,0.674401926411511,0.7644991956469167,0.0029775343966746675,0.76150390625,9.368000096450614e-05
0.2,1.3499999999999999,3,0.7753902498724605,0.004662090638705904,0.0009324181277411809,0.011400262324788909,0.016622636440142877,0.9994417520404411,0.9980835581342492,0.9140567714305792,0.7644991956469167,0.0029775343966746675,0.76150390625,9.368000096450614e-05
0.2,1.3499999999999999,4,0.7484260616294305,0.005154769113137312,0.0010309538226274625,0.016652538580839666,0.01653748807785435,0.999928678768165,0.9991862201556896,1.4137436809193855,0.7644991956469167,0.0029775343966746675,0.76150390625,9.368000096450614e-05
0.2,1.3499999999999999,5,0.784183017738032,0.004499586386694387,0.0008999172773388775,0.01991781667643245,0.024330847543927604,0.9991919256746342,0.9976409550804326,1.642159566417895,0.7644991956469167,0.0029775343966746675,0.76150390625,9.368000096450614e-05
